record_id,activity,duration_hours,wind_mean,gust_max,rain_max,daylight_fraction,completed_as_planned,notice
DEMO-0000,Turbine installation,1,7.16920,9.81139,2.62391,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0001,Turbine installation,3,6.32649,8.99514,2.83235,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0002,Turbine installation,1,1.00239,7.05033,0.13968,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0003,Turbine installation,1,8.89435,16.86766,2.28022,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0004,Turbine installation,3,3.41952,19.05654,2.21146,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0005,Turbine installation,2,9.56413,18.69715,2.99073,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0006,Turbine installation,5,0.76250,10.69296,1.04361,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0007,Turbine installation,1,14.72081,15.72081,0.85653,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0008,Turbine installation,3,7.03508,13.16506,1.35925,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0009,Turbine installation,4,13.45133,14.84264,2.56973,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0010,Turbine installation,8,7.13342,21.54357,2.18578,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0011,Turbine installation,6,0.90496,20.74682,1.41487,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0012,Turbine installation,8,12.33320,21.48905,0.73369,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0013,Turbine installation,3,9.72276,20.30472,2.18105,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0014,Turbine installation,4,11.72636,22.36246,2.56358,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0015,Turbine installation,4,6.42255,13.37900,1.19985,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0016,Turbine installation,8,9.56905,10.56905,2.00576,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0017,Turbine installation,8,12.84344,13.84344,1.20064,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0018,Turbine installation,8,9.46598,12.02497,1.43548,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0019,Turbine installation,7,5.21510,9.63837,1.57473,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0020,Turbine installation,5,9.93794,10.93794,2.32718,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0021,Turbine installation,5,10.07781,22.15767,2.93252,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0022,Turbine installation,8,14.40880,15.40880,1.33310,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0023,Turbine installation,3,5.56368,22.26883,1.02695,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0024,Turbine installation,3,6.37623,18.69510,1.12077,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0025,Turbine installation,8,12.18184,16.53702,0.40167,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0026,Turbine installation,4,7.58643,17.16834,0.89082,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0027,Turbine installation,2,11.04860,12.04860,0.25934,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0028,Turbine installation,5,6.89564,16.63569,1.28368,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0029,Turbine installation,3,3.23243,8.36046,0.50207,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0030,Turbine installation,8,11.17806,21.87870,1.03922,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0031,Turbine installation,8,1.96733,10.43228,2.38073,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0032,Turbine installation,3,2.97875,9.59336,0.73778,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0033,Turbine installation,5,9.40237,17.80093,1.83568,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0034,Turbine installation,8,11.20905,16.81608,2.70354,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0035,Turbine installation,6,13.42032,14.42032,1.70079,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0036,Turbine installation,2,4.08880,16.38403,0.58138,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0037,Turbine installation,5,1.66086,7.87088,1.03430,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0038,Turbine installation,5,14.34070,17.11991,1.77111,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0039,Turbine installation,6,2.31635,9.87099,1.51983,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0040,Turbine installation,1,2.96500,9.91105,0.44586,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0041,Turbine installation,3,4.36994,7.91924,1.34039,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0042,Turbine installation,7,7.94087,10.98279,1.62920,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0043,Turbine installation,2,13.24238,14.24238,0.80200,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0044,Turbine installation,3,11.40819,13.17522,1.83734,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0045,Turbine installation,3,10.62236,11.62236,0.21048,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0046,Turbine installation,2,2.62771,8.47414,1.00982,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0047,Turbine installation,2,5.36524,14.75129,2.41283,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0048,Turbine installation,3,7.17607,8.17607,0.77785,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0049,Turbine installation,7,2.21139,17.40015,1.81553,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0050,Turbine installation,1,4.10145,21.99105,1.23009,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0051,Turbine installation,3,4.62500,12.68232,0.94938,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0052,Turbine installation,1,1.90914,21.21990,2.74840,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0053,Turbine installation,5,8.25360,9.25360,1.02979,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0054,Turbine installation,3,10.57542,11.57542,0.71003,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0055,Turbine installation,7,1.04897,17.98464,2.72790,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0056,Turbine installation,5,7.21685,18.69839,2.23783,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
