time,wind,gust,rain,is_day,notice
2026-06-15 00:00:00+00:00,6.3,8.33,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 01:00:00+00:00,5.2,9.94,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 02:00:00+00:00,7.22,8.88,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 03:00:00+00:00,7.64,8.82,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 04:00:00+00:00,4.98,7.72,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 05:00:00+00:00,5.86,10.83,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 06:00:00+00:00,7.51,12.08,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 07:00:00+00:00,7.28,11.28,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 08:00:00+00:00,7.8,12.36,0.23,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 09:00:00+00:00,7.17,11.74,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 10:00:00+00:00,9.1,12.17,1.74,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 11:00:00+00:00,9.19,11.45,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 12:00:00+00:00,8.66,12.75,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 13:00:00+00:00,9.9,13.54,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 14:00:00+00:00,9.4,11.9,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 15:00:00+00:00,8.23,9.61,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 16:00:00+00:00,9.6,13.59,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 17:00:00+00:00,8.41,10.46,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 18:00:00+00:00,10.37,15.11,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 19:00:00+00:00,9.55,11.51,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 20:00:00+00:00,9.51,11.0,1.44,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 21:00:00+00:00,9.1,13.42,1.47,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 22:00:00+00:00,11.07,12.68,0.9,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-15 23:00:00+00:00,9.75,11.47,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 00:00:00+00:00,9.52,12.92,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 01:00:00+00:00,9.63,14.13,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 02:00:00+00:00,10.53,12.31,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 03:00:00+00:00,10.36,12.61,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 04:00:00+00:00,10.4,14.51,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 05:00:00+00:00,10.39,15.28,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 06:00:00+00:00,12.07,15.07,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 07:00:00+00:00,9.47,11.04,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 08:00:00+00:00,9.3,10.35,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 09:00:00+00:00,8.91,10.83,1.98,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 10:00:00+00:00,10.25,11.78,0.45,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
